SR Number,Date/Time Opened,Service Request Address,Service Request Status,Answer
SR19-01093730,03/01/19 11:26 AM,1836 W 18TH ST<br>  60608,Completed,PROCESSED VIOLATION NOTICE
SR19-01093841,03/01/19 11:38 AM,4437 N PAULINA ST<br>  60640,Completed,Adequate Temperature
SR19-01093918,03/01/19 11:45 AM,6435 N ARTESIAN AVE<br>  60645,Completed,Processed for Hearing - Standard
SR19-01094057,03/01/19 12:07 PM,6147 S CHAMPLAIN AVE<br>  60637,Completed,
SR19-01094067,03/01/19 12:08 PM,7270 S SOUTH SHORE DR<br>  60649,Completed,No Entry
SR19-01094350,03/01/19 12:54 PM,7911 S RACINE AVE<br>  60620,Completed,No Entry
SR19-01094637,03/01/19 01:42 PM,6102 N WINCHESTER AVE<br>  60660,Completed,PROCESSED VIOLATION NOTICE
SR19-01094921,03/01/19 02:31 PM,6800 S NORMAL BLVD<br>  60621,Completed,No Entry
SR19-01095293,03/01/19 03:26 PM,821 W 84TH ST<br>  60620,Completed,Processed for Court
SR19-01095902,03/01/19 05:02 PM,7952 S ESSEX AVE<br>  60617,Completed,Processed for Court
SR19-01096646,03/01/19 08:53 PM,1145 W MORSE AVE<br>  60626,Completed,No Entry
SR19-01097032,03/01/19 11:36 PM,6707 S michigan AVE<br>  60637,Completed,Adequate Temperature
SR19-01097722,03/02/19 09:39 AM,7154 S EMERALD AVE<br>  60621,Completed,
SR19-01098778,03/02/19 03:59 PM,3908 N CALIFORNIA AVE<br>  60618,Completed,PROCESSED VIOLATION NOTICE
SR19-01098861,03/02/19 04:23 PM,7133 S EAST END AVE<br>  60649,Completed,No Cause
SR19-01098889,03/02/19 04:29 PM,6046 W GIDDINGS ST<br>  60630,Completed,No Entry
SR19-01098946,03/02/19 04:49 PM,1531 N North Park AVE<br>  60610,Completed,No Entry
SR19-01098964,03/02/19 04:58 PM,1010 W 95TH ST<br>  60620,Completed,Adequate Temperature
SR19-01099055,03/02/19 05:46 PM,7623 S BLACKSTONE AVE<br>  60619,Completed,No Cause
SR19-01099681,03/02/19 11:04 PM,4751 W MONROE ST<br>  60644,Completed,Active Case
SR19-01099717,03/03/19 12:42 AM,8141 S MARSHFIELD AVE<br>  60620,Completed,PROCESSED VIOLATION NOTICE
SR19-01099746,03/03/19 01:09 AM,8141 S MARSHFIELD AVE<br>  60620,Completed,
SR19-01099887,03/03/19 03:30 AM,8042 S HERMITAGE AVE<br>  60620,Completed,Active Case
SR19-01100460,03/03/19 10:27 AM,7721 S YATES BLVD<br>  60649,Completed,Active Case
SR19-01100881,03/03/19 12:49 PM,5020 S BLACKSTONE AVE<br>  60615,Completed,Active Case
SR19-01101323,03/03/19 03:21 PM,7018 S CLYDE AVE<br>  60649,Completed,No Entry
SR19-01101339,03/03/19 03:23 PM,2310 S CALIFORNIA AVE<br>  60608,Completed,Processed for Hearing - Standard
SR19-01101769,03/03/19 05:40 PM,1434 S HOMAN AVE<br>  60623,Completed,No Entry
SR19-01101967,03/03/19 07:02 PM,6201 N KENMORE AVE<br>  60660,Completed,No Entry
SR19-01102244,03/03/19 08:45 PM,1648 W CULLERTON ST<br>  60608,Completed,No Entry
SR19-01102340,03/03/19 09:33 PM,758 E 79TH ST<br>  60619,Completed,No Entry
SR19-01102724,03/04/19 02:51 AM,7729 N EASTLAKE TER<br>  60626,Completed,No Entry
SR19-01102736,03/04/19 03:30 AM,4641 N PAULINA ST<br>  60640,Completed,No Entry
SR19-01102759,03/04/19 04:34 AM,1320 W 89TH ST<br>  60620,Completed,PROCESSED VIOLATION NOTICE
SR19-01102792,03/04/19 05:08 AM,7729 N EASTLAKE TER<br>  60626,Completed,
SR19-01103049,03/04/19 06:59 AM,7756 S COLFAX AVE<br>  60649,Completed,Active Case
SR19-01103068,03/04/19 07:10 AM,4026 N KIMBALL AVE<br>  60618,Completed,No Entry
SR19-01103079,03/04/19 07:16 AM,2424 N CLARK ST<br>  60614,Completed,Adequate Temperature
SR19-01103165,03/04/19 07:50 AM,4250 S PRINCETON AVE<br>  60609,Completed,Adequate Temperature
SR19-01103207,03/04/19 08:15 AM,3570 W DICKENS AVE<br>  60647,Completed,Adequate Temperature
SR19-01103307,03/04/19 08:43 AM,5218 S WOODLAWN AVE<br>  60615,Completed,No Entry
SR19-01103623,03/04/19 09:55 AM,2145 E 87th ST<br>  60617,Completed,No Entry
SR19-01103782,03/04/19 10:22 AM,1514 W 119TH ST<br>  60643,Completed,Adequate Temperature
SR19-01103796,03/04/19 10:26 AM,734 W SHERIDAN RD<br>  60613,Completed,Active Case
SR19-01103855,03/04/19 10:39 AM,2522 W MARQUETTE RD<br>  60629,Completed,Active Case
SR19-01104038,03/04/19 11:02 AM,936 E 47TH ST<br>  60653,Completed,No Entry
SR19-01104158,03/04/19 11:18 AM,77 W WASHINGTON ST<br>  60602,Completed,No Cause
SR19-01104215,03/04/19 11:31 AM,19 S LEAMINGTON AVE<br>  60644,Completed,No Entry
SR19-01104231,03/04/19 11:35 AM,8203 N michigan AVE<br>  60619,Completed,No Cause
SR19-01104298,03/04/19 11:50 AM,727 E 60TH ST<br>  60637,Completed,Processed for Hearing - Standard
SR19-01105265,03/04/19 03:38 PM,1221 W 73RD ST<br>  60636,Completed,No Entry
SR19-01105689,03/04/19 05:26 PM,1046 W DIVERSEY PKWY<br>  60614,Completed,Adequate Temperature
SR19-01105717,03/04/19 05:35 PM,4124 W 63RD ST<br>  60629,Completed,PROCESSED VIOLATION NOTICE
SR19-01105801,03/04/19 05:57 PM,4029 W CRYSTAL ST<br>  60651,Completed,No Entry
SR19-01105816,03/04/19 06:00 PM,3917 W VAN BUREN ST<br>  60624,Completed,Processed for Court
SR19-01105941,03/04/19 06:41 PM,734 W SHERIDAN RD<br>  60613,Completed,Active Case
SR19-01106003,03/04/19 07:06 PM,5649 N Spaulding AVE<br>  60659,Completed,No Entry
SR19-01106090,03/04/19 07:38 PM,2901 S DR MARTIN LUTHER KING JR DR<br>  60616,Completed,Active Case
SR19-01106342,03/04/19 09:36 PM,6626 S WABASH AVE<br>  60637,Completed,No Entry
SR19-01106362,03/04/19 09:46 PM,2203 W RICE ST<br>  60622,Completed,No Entry
SR19-01106588,03/04/19 11:43 PM,7763 S SOUTH SHORE DR<br>  60649,Completed,No Entry
SR19-01106594,03/04/19 11:49 PM,1900 S Clark ST<br>  60616,Completed,No Entry
SR19-01106610,03/05/19 12:05 AM,1226 W JARVIS AVE<br>  60626,Completed,No Entry
SR19-01106675,03/05/19 01:47 AM,120 E 44TH ST<br>  60653,Completed,Processed for Hearing - Standard
SR19-01106777,03/05/19 05:30 AM,4437 S GREENWOOD AVE<br>  60653,Completed,Active Case
SR19-01106785,03/05/19 05:41 AM,838 N CENTRAL AVE<br>  60651,Completed,NO SUCH ADDRESS
SR19-01106786,03/05/19 05:43 AM,2415 N OAK PARK AVE<br>  60707,Completed,
SR19-01106789,03/05/19 05:45 AM,6209 S PRINCETON AVE<br>  60621,Completed,Active Case
SR19-01106825,03/05/19 06:28 AM,4518 N DAMEN AVE<br>  60625,Completed,No Entry
SR19-01106826,03/05/19 06:29 AM,6209 S PRINCETON AVE<br>  60621,Completed,
SR19-01106851,03/05/19 06:42 AM,6651 S MAPLEWOOD AVE<br>  60629,Completed,Processed for Court
SR19-01106873,03/05/19 06:58 AM,2134 N CLEVELAND AVE<br>  60614,Completed,Active Case
SR19-01107017,03/05/19 07:53 AM,3603 N ASHLAND AVE<br>  60613,Completed,Processed for Hearing - Standard
SR19-01107574,03/05/19 09:08 AM,6600 S ARTESIAN AVE<br>  60629,Completed,
SR19-01107926,03/05/19 09:40 AM,2139 W CONCORD PL<br>  60647,Completed,No Entry
SR19-01108109,03/05/19 10:00 AM,2855 N ASHLAND AVE<br>  60657,Completed,No Entry
SR19-01108149,03/05/19 10:04 AM,4677 N ELSTON AVE<br>  60630,Completed,No Cause
SR19-01108675,03/05/19 10:49 AM,3130 N LAKE SHORE DR<br>  60657,Completed,Adequate Temperature
SR19-01109419,03/05/19 12:10 PM,7721 S Yates BLVD<br>  60649,Completed,Active Case
SR19-01109541,03/05/19 12:22 PM,2308 N MEADE AVE<br>  60639,Completed,No Entry
SR19-01109943,03/05/19 01:24 PM,419 E 75TH ST<br>  60619,Completed,Processed for Hearing - Standard
SR19-01110116,03/05/19 01:49 PM,2104 E 74TH ST<br>  60649,Completed,NO SUCH ADDRESS
SR19-01110211,03/05/19 02:01 PM,2104 E 72ND PL<br>  60649,Completed,Processed for Hearing - Standard
SR19-01110214,03/05/19 02:02 PM,1236 E 46TH ST<br>  60653,Completed,No Entry
SR19-01110270,03/05/19 02:10 PM,4835 W WEST END AVE<br>  60644,Completed,Processed for Hearing - Standard
SR19-01110413,03/05/19 02:29 PM,8503 W CATHERINE AVE<br>  60656,Completed,Active Case
SR19-01110535,03/05/19 02:47 PM,5330 S HARPER AVE<br>  60615,Completed,Active Case
SR19-01110672,03/05/19 03:07 PM,1256 S INDEPENDENCE BLVD<br>  60623,Completed,Processed for Hearing - Standard
SR19-01110723,03/05/19 03:14 PM,3044 N AVERS AVE<br>  60618,Completed,No Entry
SR19-01110771,03/05/19 03:20 PM,7900 S MERRILL AVE<br>  60649,Completed,No Entry
SR19-01111022,03/05/19 04:01 PM,4526 S DREXEL BLVD<br>  60653,Completed,Adequate Temperature
SR19-01111108,03/05/19 04:11 PM,860 N DEWITT PL<br>  60611,Completed,Active Case
SR19-01111373,03/05/19 04:41 PM,3127 N HARDING AVE<br>  60618,Completed,No Entry
SR19-01111793,03/05/19 06:23 PM,3130 W WALTON ST<br>  60622,Completed,No Cause
SR19-01112059,03/05/19 08:26 PM,8204 S MARSHFIELD AVE<br>  60620,Completed,No Entry
SR19-01112205,03/05/19 09:09 PM,936 E 47TH ST<br>  60653,Completed,
SR19-01112551,03/05/19 11:23 PM,8001 S WESTERN AVE<br>  60620,Completed,Adequate Temperature
SR19-01112653,03/06/19 12:42 AM,4421 N BROADWAY ST<br>  60640,Completed,Adequate Temperature
SR19-01112711,03/06/19 01:19 AM,5200 N SHERIDAN RD<br>  60640,Completed,Adequate Temperature
SR19-01112771,03/06/19 02:56 AM,7028 S PAXTON AVE<br>  60649,Completed,No Entry
SR19-01112775,03/06/19 03:03 AM,4677 N ELSTON AVE<br>  60630,Completed,
SR19-01112877,03/06/19 05:37 AM,432 E 111TH PL<br>  60628,Completed,Adequate Temperature
SR19-01112961,03/06/19 06:35 AM,2134 N CLEVELAND AVE<br>  60614,Completed,Active Case
SR19-01112988,03/06/19 06:50 AM,3139 W LELAND AVE<br>  60625,Completed,No Entry
SR19-01113147,03/06/19 07:53 AM,8917 S COTTAGE GROVE AVE<br>  60619,Completed,No Entry
SR19-01113337,03/06/19 08:31 AM,6215 W NEWPORT AVE<br>  60634,Completed,Processed for Hearing - Standard
SR19-01113363,03/06/19 08:35 AM,6800 S NORMAL BLVD<br>  60621,Completed,
SR19-01113555,03/06/19 09:06 AM,1151 W 79TH ST<br>  60620,Completed,No Entry
SR19-01115050,03/06/19 11:43 AM,6800 S STEWART AVE<br>  60621,Completed,NO SUCH ADDRESS
SR19-01115270,03/06/19 12:03 PM,6825 N SEELEY AVE<br>  60645,Completed,No Entry
SR19-01115978,03/06/19 01:57 PM,1151 W 79TH ST<br>  60620,Completed,
SR19-01116052,03/06/19 02:11 PM,7617 S EBERHART AVE<br>  60619,Completed,Processed for Hearing - Standard
SR19-01116367,03/06/19 02:52 PM,6437 S LANGLEY AVE<br>  60637,Completed,No Entry
SR19-01116404,03/06/19 02:57 PM,4318 W cermak RD<br>  60623,Completed,No Entry
SR19-01117152,03/06/19 04:49 PM,7948 S GREENWOOD AVE<br>  60619,Completed,Active Case
SR19-01117555,03/06/19 06:22 PM,1600 W CHASE AVE<br>  60626,Completed,No Entry
SR19-01117832,03/06/19 07:55 PM,3455 W JACKSON BLVD<br>  60624,Completed,No Entry
SR19-01117874,03/06/19 08:11 PM,4007 W WELLINGTON AVE<br>  60641,Completed,Active Case
SR19-01117915,03/06/19 08:25 PM,7024 S PEORIA ST<br>  60621,Completed,Adequate Temperature
SR19-01118209,03/06/19 09:58 PM,432 E 111TH PL<br>  60628,Completed,Adequate Temperature
SR19-01118540,03/07/19 01:24 AM,148 N LONG AVE<br>  60644,Completed,No Entry
SR19-01118648,03/07/19 04:32 AM,38 N CENTRAL AVE<br>  60644,Completed,No Entry
SR19-01118689,03/07/19 05:29 AM,7028 S PAXTON AVE<br>  60649,Completed,
SR19-01119163,03/07/19 08:10 AM,2134 N CLEVELAND AVE<br>  60614,Completed,Active Case
SR19-01119239,03/07/19 08:28 AM,110 N KOSTNER AVE<br>  60624,Completed,Processed for Hearing - Standard
SR19-01119518,03/07/19 09:06 AM,4007 W WELLINGTON AVE<br>  60641,Completed,Processed for Hearing - Standard
SR19-01119757,03/07/19 09:37 AM,343 S DEARBORN ST<br>  60604,Completed,Active Case
SR19-01119821,03/07/19 09:46 AM,2139 W Concord PL<br>  60647,Completed,No Entry
SR19-01119891,03/07/19 09:56 AM,6636 S INGLESIDE AVE<br>  60637,Completed,No Entry
SR19-01119901,03/07/19 09:57 AM,1316 S TRIPP AVE<br>  60623,Completed,Processed for Court
SR19-01119907,03/07/19 09:57 AM,1316 S TRIPP AVE<br>  60623,Completed,Active Case
SR19-01119947,03/07/19 10:02 AM,1450 E 55TH PL<br>  60615,Completed,Active Case
SR19-01119959,03/07/19 10:03 AM,1053 W GRANVILLE AVE<br>  60660,Completed,Transfer to Ventilation Violation
SR19-01119959,03/07/19 10:03 AM,1053 W GRANVILLE AVE<br>  60660,Completed,No Cause
SR19-01119992,03/07/19 10:06 AM,2139 W CONCORD PL<br>  60647,Completed,No Entry
SR19-01121238,03/07/19 12:37 PM,419 E 75TH ST<br>  60619,Completed,
SR19-01121886,03/07/19 02:05 PM,3845 W ALTGELD ST<br>  60647,Completed,No Entry
SR19-01122316,03/07/19 03:11 PM,1433 W FLOURNOY ST<br>  60607,Completed,Adequate Temperature
SR19-01123061,03/07/19 04:53 PM,1145 W MORSE AVE<br>  60626,Completed,No Entry
SR19-01123288,03/07/19 05:32 PM,3127 N HARDING AVE<br>  60618,Completed,No Entry
SR19-01123358,03/07/19 05:47 PM,1507 N AVERS AVE<br>  60651,Completed,PROCESSED VIOLATION NOTICE
SR19-01124343,03/08/19 12:42 AM,7911 S RACINE AVE<br>  60620,Completed,Processed for Hearing - Standard
SR19-01124417,03/08/19 02:22 AM,2111 W Lexington ST<br>  60612,Completed,Adequate Temperature
SR19-01124697,03/08/19 07:08 AM,1407 S michigan AVE<br>  60605,Completed,No Entry
SR19-01124826,03/08/19 07:48 AM,7932 S KINGSTON AVE<br>  60617,Completed,Processed for Hearing - Standard
SR19-01124836,03/08/19 07:50 AM,6147 S CHAMPLAIN AVE<br>  60637,Completed,Processed for Court
SR19-01125804,03/08/19 10:08 AM,2137 W CONCORD PL<br>  60647,Completed,No Entry
SR19-01125833,03/08/19 10:11 AM,2117 W ARTHUR AVE<br>  60645,Completed,No Entry
SR19-01126095,03/08/19 10:38 AM,6352 S ALBANY AVE<br>  60629,Completed,No Entry
SR19-01126157,03/08/19 10:46 AM,3440 S NORMAL AVE<br>  60616,Completed,No Entry
SR19-01126587,03/08/19 11:36 AM,7652 S COLFAX AVE<br>  60649,Completed,Processed for Hearing - Standard
SR19-01126886,03/08/19 12:17 PM,6626 S WABASH AVE<br>  60637,Completed,PROCESSED VIOLATION NOTICE
SR19-01126915,03/08/19 12:21 PM,2157 N MASON AVE<br>  60639,Completed,No Entry
SR19-01127046,03/08/19 12:42 PM,6352 S ALBANY AVE<br>  60629,Completed,
SR19-01127105,03/08/19 12:50 PM,12023 S STEWART AVE<br>  60628,Completed,Processed for Court
SR19-01127158,03/08/19 12:59 PM,5040 N KIMBALL AVE<br>  60625,Completed,No Entry
SR19-01127702,03/08/19 02:18 PM,6600 S ARTESIAN AVE<br>  60629,Completed,No Entry
SR19-01128771,03/08/19 05:32 PM,1646 N ARTESIAN AVE<br>  60647,Completed,No Entry
SR19-01129262,03/08/19 08:10 PM,6382 N HERMITAGE AVE<br>  60660,Completed,Adequate Temperature
SR19-01129783,03/09/19 01:36 AM,5957 S elizabeth ST<br>  60636,Completed,Processed for Hearing - Standard
SR19-01131401,03/09/19 03:32 PM,8041 S DREXEL AVE<br>  60619,Completed,Adequate Temperature
SR19-01131708,03/09/19 04:44 PM,5224 S PEORIA ST<br>  60609,Completed,No Entry
SR19-01133236,03/10/19 08:07 AM,5618 S LAFLIN ST<br>  60636,Completed,No Entry
SR19-01133327,03/10/19 08:51 AM,5803 W ERIE ST<br>  60644,Completed,No Entry
SR19-01133485,03/10/19 09:38 AM,6639 S ELLIS AVE<br>  60637,Completed,No Entry
SR19-01133979,03/10/19 12:28 PM,2208 W AINSLIE ST<br>  60625,Completed,Adequate Temperature
SR19-01134516,03/10/19 04:06 PM,2715 N CICERO AVE<br>  60639,Completed,Adequate Temperature
SR19-01135032,03/10/19 07:09 PM,1067 W GLENLAKE AVE<br>  60660,Completed,No Entry
SR19-01135591,03/10/19 10:46 PM,7822 S PHILLIPS AVE<br>  60649,Completed,No Entry
SR19-01135717,03/11/19 12:00 AM,727 E 60TH ST<br>  60637,Completed,Active Case
SR19-01136097,03/11/19 06:43 AM,4344 S ELLIS AVE<br>  60653,Completed,Processed for Hearing - Standard
SR19-01136169,03/11/19 07:19 AM,3603 N ASHLAND AVE<br>  60613,Completed,Active Case
SR19-01136799,03/11/19 09:04 AM,10602 S L AVE<br>  60617,Completed,No Cause
SR19-01137423,03/11/19 10:19 AM,9351 S laflin ST<br>  60620,Completed,No Entry
SR19-01139195,03/11/19 02:09 PM,2930 N SACRAMENTO AVE<br>  60618,Completed,No Entry
SR19-01140115,03/11/19 04:01 PM,11431 S DR MARTIN LUTHER KING JR DR<br>  60628,Completed,PROCESSED VIOLATION NOTICE
SR19-01140218,03/11/19 04:15 PM,1600 W CHASE AVE<br>  60626,Completed,PROCESSED VIOLATION NOTICE
SR19-01141672,03/11/19 11:01 PM,3134 N KOLMAR AVE<br>  60641,Completed,No Entry
SR19-01141947,03/12/19 02:26 AM,1707 W 56TH ST<br>  60636,Completed,NO SUCH ADDRESS
SR19-01144162,03/12/19 10:58 AM,1145 W MORSE AVE<br>  60626,Completed,No Entry
SR19-01146174,03/12/19 02:59 PM,5624 S PEORIA ST<br>  60621,Completed,NO SUCH ADDRESS
SR19-01147159,03/12/19 05:04 PM,1164 N DEARBORN ST<br>  60610,Completed,Active Case
SR19-01148568,03/12/19 10:53 PM,4158 N MENARD AVE<br>  60634,Completed,No Entry
SR19-01148917,03/13/19 03:35 AM,7957 S ELLIS AVE<br>  60619,Completed,Active Case
SR19-01149025,03/13/19 06:12 AM,6507 S ELLIS AVE<br>  60637,Completed,No Entry
SR19-01150046,03/13/19 09:58 AM,1145 W MORSE AVE<br>  60626,Completed,
SR19-01151502,03/13/19 12:27 PM,4045 N LAPORTE AVE<br>  60641,Completed,No Entry
SR19-01153294,03/13/19 03:54 PM,6818 S DORCHESTER AVE<br>  60637,Completed,No Cause
SR19-01158273,03/14/19 11:06 AM,3543 S ARCHER AVE<br>  60609,Completed,Processed for Hearing - Standard
SR19-01159173,03/14/19 12:29 PM,1528 W MORSE AVE<br>  60626,Completed,No Cause - Phone Call
SR19-01163506,03/15/19 02:28 AM,3950 W 68TH ST<br>  60629,Completed,NO SUCH ADDRESS
SR19-01164038,03/15/19 07:51 AM,4153 N PULASKI RD<br>  60641,Completed,Adequate Temperature
SR19-01164773,03/15/19 09:44 AM,3950 W 60TH ST<br>  60629,Completed,PROCESSED VIOLATION NOTICE
SR19-01164949,03/15/19 10:07 AM,1528 W MORSE AVE<br>  60626,Completed,
SR19-01165771,03/15/19 11:41 AM,1525 W MORSE AVE<br>  60626,Completed,No Entry
SR19-01167434,03/15/19 03:35 PM,4168 W 24TH PL<br>  60623,Completed,No Entry
SR19-01168150,03/15/19 05:34 PM,3032 W 54TH PL<br>  60632,Completed,No Entry
SR19-01168390,03/15/19 06:42 PM,230 E ONTARIO ST<br>  60611,Completed,Active Case
SR19-01168597,03/15/19 08:05 PM,230 E ONTARIO ST<br>  60611,Completed,Adequate Temperature
SR19-01169239,03/16/19 01:41 AM,2360 W 50TH ST<br>  60609,Completed,NO SUCH ADDRESS
SR19-01169249,03/16/19 01:47 AM,1705 S LOOMIS ST<br>  60608,Completed,NO SUCH ADDRESS
SR19-01169360,03/16/19 04:06 AM,7957 S ellis ST<br>  60619,Completed,No Entry
SR19-01170045,03/16/19 10:17 AM,5646 N GLENWOOD AVE<br>  60660,Completed,No Entry
SR19-01170140,03/16/19 10:45 AM,9006 S ESCANABA AVE<br>  60617,Completed,Processed for Hearing - Standard
SR19-01170755,03/16/19 02:00 PM,1615 W 78TH ST<br>  60620,Completed,Processed for Court
SR19-01170888,03/16/19 02:31 PM,3318 N LAKE SHORE DR<br>  60657,Completed,PROCESSED VIOLATION NOTICE
SR19-01170937,03/16/19 02:40 PM,554 E PERSHING RD<br>  60653,Completed,No Entry
SR19-01171857,03/16/19 06:57 PM,8143 S EVANS AVE<br>  60619,Completed,Processed for Hearing - Standard
SR19-01171874,03/16/19 07:06 PM,3704 N HARLEM AVE<br>  60634,Completed,Active Case
SR19-01172641,03/17/19 01:42 AM,6957 S EGGLESTON AVE<br>  60621,Completed,PROCESSED VIOLATION NOTICE
SR19-01172714,03/17/19 04:14 AM,4835 W BELLE PLAINE AVE<br>  60641,Completed,No Entry
SR19-01172767,03/17/19 05:26 AM,9100 S DAUPHIN AVE<br>  60619,Completed,Adequate Temperature
SR19-01172778,03/17/19 05:52 AM,9102 S DAUPHIN AVE<br>  60619,Completed,Adequate Temperature
