,SR Number,Date/Time Opened,Service Request Address,Service Request Status,Answer,street_address,zipcode,apt_num,city,state
15,SR19-01075484,02/26/19 01:38 PM,6147 S CHAMPLAIN AVE<br>  60637,Completed,No Entry,6147 S CHAMPLAIN AVE,60637,   ,Chicago,Illinois
16,SR19-01075646,02/26/19 01:54 PM,6134 S COTTAGE GROVE AVE<br>  60637,Completed,Processed for Hearing - Standard,6134 S COTTAGE GROVE AVE,60637,   ,Chicago,Illinois
17,SR19-01075858,02/26/19 02:24 PM,2104 W WILSON AVE<br>  60625,Completed,No Entry,2104 W WILSON AVE,60625,   ,Chicago,Illinois
18,SR19-01076893,02/26/19 05:28 PM,4414 S DREXEL BLVD<br>  60653,Completed,No Entry,4414 S DREXEL BLVD,60653,   ,Chicago,Illinois
19,SR19-01076905,02/26/19 05:32 PM,1634 W JUNEWAY TER<br>  60626,Completed,No Entry,1634 W JUNEWAY TER,60626,   ,Chicago,Illinois
20,SR19-01077061,02/26/19 06:20 PM,3011 S KOSTNER AVE<br>  60623,Completed,No Entry,3011 S KOSTNER AVE,60623,   ,Chicago,Illinois
21,SR19-01077785,02/26/19 10:10 PM,8 N 5th AVE<br>  60153,Completed,No Cause,8 N 5th AVE,60153,   ,Chicago,Illinois
22,SR19-01078108,02/27/19 01:55 AM,1210 W Waveland AVE<br>  60613,Completed,No Entry,1210 W Waveland AVE,60613,   ,Chicago,Illinois
23,SR19-01078122,02/27/19 02:24 AM,5036 W QUINCY ST<br>  60644,Completed,No Entry,5036 W QUINCY ST,60644,   ,Chicago,Illinois
24,SR19-01078196,02/27/19 04:40 AM,4751 W monroe ST<br>  60644,Completed,Processed for Court,4751 W monroe ST,60644,   ,Chicago,Illinois
25,SR19-01078312,02/27/19 06:43 AM,3505 N KEELER AVE<br>  60641,Completed,Processed for Hearing - Standard,3505 N KEELER AVE,60641,   ,Chicago,Illinois
26,SR19-01078629,02/27/19 08:01 AM,2134 N CLEVELAND AVE<br>  60614,Completed,Processed for Hearing - Standard,2134 N CLEVELAND AVE,60614,   ,Chicago,Illinois
27,SR19-01078705,02/27/19 08:18 AM,5420 N KENMORE AVE<br>  60640,Completed,No Entry,5420 N KENMORE AVE,60640,   ,Chicago,Illinois
28,SR19-01078948,02/27/19 09:03 AM,5420 N KENMORE AVE<br>  60640,Completed,No Entry,5420 N KENMORE AVE,60640,   ,Chicago,Illinois
29,SR19-01079464,02/27/19 10:11 AM,6600 S ARTESIAN AVE<br>  60629,Completed,No Entry,6600 S ARTESIAN AVE,60629,   ,Chicago,Illinois
30,SR19-01079697,02/27/19 10:34 AM,5248 W MONTANA ST<br>  60639,Completed,Processed for Hearing - Standard,5248 W MONTANA ST,60639,   ,Chicago,Illinois
31,SR19-01080587,02/27/19 11:59 AM,6435 N Artesian AVE<br>  60645,Completed,Processed for Hearing - Standard,6435 N Artesian AVE,60645,   ,Chicago,Illinois
32,SR19-01080626,02/27/19 12:06 PM,1342 W 15TH ST<br>  60608,Completed,No Entry,1342 W 15TH ST,60608,   ,Chicago,Illinois
33,SR19-01082360,02/27/19 04:06 PM,6019 N FAIRFIELD AVE<br>  60659,Completed,Adequate Temperature,6019 N FAIRFIELD AVE,60659,   ,Chicago,Illinois
34,SR19-01082868,02/27/19 06:04 PM,7911 S RACINE AVE<br>  ,Completed,No Entry,7911 S RACINE AVE,,   ,Chicago,Illinois
35,SR19-01083147,02/27/19 08:13 PM,4934 N SPAULDING AVE<br>  60625,Completed,Processed for Hearing - Standard,4934 N SPAULDING AVE,60625,   ,Chicago,Illinois
36,SR19-01083605,02/28/19 12:30 AM,4605 N WOLCOTT AVE<br>  60640,Completed,No Entry,4605 N WOLCOTT AVE,60640,   ,Chicago,Illinois
37,SR19-01084056,02/28/19 06:38 AM,4145 W arlington ST<br>  60624,Completed,No Cause,4145 W arlington ST,60624,   ,Chicago,Illinois
38,SR19-01084132,02/28/19 07:11 AM,1507 N CLYBOURN AVE<br>  60610,Completed,Adequate Temperature,1507 N CLYBOURN AVE,60610,   ,Chicago,Illinois
39,SR19-01084600,02/28/19 08:29 AM,7617 S EBERHART AVE<br>  60619,Completed,No Entry,7617 S EBERHART AVE,60619,   ,Chicago,Illinois
40,SR19-01084831,02/28/19 08:57 AM,7756 S COLFAX AVE<br>  60649,Completed,Active Case,7756 S COLFAX AVE,60649,   ,Chicago,Illinois
41,SR19-01085556,02/28/19 10:28 AM,7270 S SOUTH SHORE DR<br>  60649,Completed,No Entry,7270 S SOUTH SHORE DR,60649,   ,Chicago,Illinois
42,SR19-01085752,02/28/19 10:51 AM,5633 N KENMORE AVE<br>  60660,Completed,Adequate Temperature,5633 N KENMORE AVE,60660,   ,Chicago,Illinois
43,SR19-01085787,02/28/19 10:55 AM,5036 W QUINCY ST<br>  60644,Completed,PROCESSED VIOLATION NOTICE,5036 W QUINCY ST,60644,   ,Chicago,Illinois
44,SR19-01086720,02/28/19 11:33 AM,2453 W MARQUETTE RD<br>  60629,Completed,No Entry,2453 W MARQUETTE RD,60629,   ,Chicago,Illinois
45,SR19-01088631,02/28/19 02:05 PM,2134 N CLEVELAND AVE<br>  60614,Completed,Active Case,2134 N CLEVELAND AVE,60614,   ,Chicago,Illinois
46,SR19-01088760,02/28/19 02:23 PM,2134 N CLEVELAND AVE<br>  60614,Completed,,2134 N CLEVELAND AVE,60614,   ,Chicago,Illinois
47,SR19-01089282,02/28/19 03:20 PM,2415 N OAK PARK AVE<br>  60707,Completed,No Entry,2415 N OAK PARK AVE,60707,   ,Chicago,Illinois
48,SR19-01089752,02/28/19 04:19 PM,6626 S WABASH AVE<br>  60637,Completed,No Entry,6626 S WABASH AVE,60637,   ,Chicago,Illinois
49,SR19-01090050,02/28/19 05:21 PM,3601 N ASHLAND AVE<br>  60613,Completed,No Entry,3601 N ASHLAND AVE,60613,   ,Chicago,Illinois
50,SR19-01090499,02/28/19 08:13 PM,5621 S LAFLIN ST<br>  60636,Completed,No Entry,5621 S LAFLIN ST,60636,   ,Chicago,Illinois
51,SR19-01090861,02/28/19 10:41 PM,6382 N HERMITAGE AVE<br>  60660,Completed,No Entry,6382 N HERMITAGE AVE,60660,   ,Chicago,Illinois
52,SR19-01091267,03/01/19 12:30 AM,6750 S RIDGELAND AVE<br>  60649,Completed,Processed for Court,6750 S RIDGELAND AVE,60649,   ,Chicago,Illinois
53,SR19-01091493,03/01/19 05:37 AM,6920 S CRANDON AVE<br>  60649,Completed,Adequate Temperature,6920 S CRANDON AVE,60649,   ,Chicago,Illinois
54,SR19-01091687,03/01/19 07:12 AM,8042 S HERMITAGE AVE<br>  60620,Completed,Active Case,8042 S HERMITAGE AVE,60620,   ,Chicago,Illinois
55,SR19-01092962,03/01/19 10:20 AM,7154 S EMERALD AVE<br>  60621,Completed,Adequate Temperature,7154 S EMERALD AVE,60621,   ,Chicago,Illinois
56,SR19-01093052,03/01/19 10:29 AM,6418 N NEWGARD AVE<br>  60626,Completed,PROCESSED VIOLATION NOTICE,6418 N NEWGARD AVE,60626,   ,Chicago,Illinois
57,SR19-01093253,03/01/19 10:47 AM,6912 N ASHLAND BLVD<br>  60626,Completed,Processed for Hearing - Standard,6912 N ASHLAND BLVD,60626,   ,Chicago,Illinois
58,SR19-01093442,03/01/19 11:02 AM,10619 S PERRY AVE<br>  60628,Completed,No Entry,10619 S PERRY AVE,60628,   ,Chicago,Illinois
59,SR19-01093730,03/01/19 11:26 AM,1836 W 18TH ST<br>  60608,Completed,PROCESSED VIOLATION NOTICE,1836 W 18TH ST,60608,   ,Chicago,Illinois
60,SR19-01093841,03/01/19 11:38 AM,4437 N PAULINA ST<br>  60640,Completed,Adequate Temperature,4437 N PAULINA ST,60640,   ,Chicago,Illinois
61,SR19-01093918,03/01/19 11:45 AM,6435 N ARTESIAN AVE<br>  60645,Completed,Processed for Hearing - Standard,6435 N ARTESIAN AVE,60645,   ,Chicago,Illinois
62,SR19-01094057,03/01/19 12:07 PM,6147 S CHAMPLAIN AVE<br>  60637,Completed,,6147 S CHAMPLAIN AVE,60637,   ,Chicago,Illinois
63,SR19-01094067,03/01/19 12:08 PM,7270 S SOUTH SHORE DR<br>  60649,Completed,No Entry,7270 S SOUTH SHORE DR,60649,   ,Chicago,Illinois
64,SR19-01094350,03/01/19 12:54 PM,7911 S RACINE AVE<br>  60620,Completed,No Entry,7911 S RACINE AVE,60620,   ,Chicago,Illinois
65,SR19-01094637,03/01/19 01:42 PM,6102 N WINCHESTER AVE<br>  60660,Completed,PROCESSED VIOLATION NOTICE,6102 N WINCHESTER AVE,60660,   ,Chicago,Illinois
66,SR19-01094921,03/01/19 02:31 PM,6800 S NORMAL BLVD<br>  60621,Completed,No Entry,6800 S NORMAL BLVD,60621,   ,Chicago,Illinois
67,SR19-01095293,03/01/19 03:26 PM,821 W 84TH ST<br>  60620,Completed,Processed for Court,821 W 84TH ST,60620,   ,Chicago,Illinois
68,SR19-01095902,03/01/19 05:02 PM,7952 S ESSEX AVE<br>  60617,Completed,Processed for Court,7952 S ESSEX AVE,60617,   ,Chicago,Illinois
69,SR19-01096646,03/01/19 08:53 PM,1145 W MORSE AVE<br>  60626,Completed,No Entry,1145 W MORSE AVE,60626,   ,Chicago,Illinois
70,SR19-01097032,03/01/19 11:36 PM,6707 S michigan AVE<br>  60637,Completed,Adequate Temperature,6707 S michigan AVE,60637,   ,Chicago,Illinois
71,SR19-01097722,03/02/19 09:39 AM,7154 S EMERALD AVE<br>  60621,Completed,,7154 S EMERALD AVE,60621,   ,Chicago,Illinois
72,SR19-01098778,03/02/19 03:59 PM,3908 N CALIFORNIA AVE<br>  60618,Completed,PROCESSED VIOLATION NOTICE,3908 N CALIFORNIA AVE,60618,   ,Chicago,Illinois
73,SR19-01098861,03/02/19 04:23 PM,7133 S EAST END AVE<br>  60649,Completed,No Cause,7133 S EAST END AVE,60649,   ,Chicago,Illinois
74,SR19-01098889,03/02/19 04:29 PM,6046 W GIDDINGS ST<br>  60630,Completed,No Entry,6046 W GIDDINGS ST,60630,   ,Chicago,Illinois
75,SR19-01098946,03/02/19 04:49 PM,1531 N North Park AVE<br>  60610,Completed,No Entry,1531 N North Park AVE,60610,   ,Chicago,Illinois
76,SR19-01098964,03/02/19 04:58 PM,1010 W 95TH ST<br>  60620,Completed,Adequate Temperature,1010 W 95TH ST,60620,   ,Chicago,Illinois
77,SR19-01099055,03/02/19 05:46 PM,7623 S BLACKSTONE AVE<br>  60619,Completed,No Cause,7623 S BLACKSTONE AVE,60619,   ,Chicago,Illinois
78,SR19-01099681,03/02/19 11:04 PM,4751 W MONROE ST<br>  60644,Completed,Active Case,4751 W MONROE ST,60644,   ,Chicago,Illinois
79,SR19-01099717,03/03/19 12:42 AM,8141 S MARSHFIELD AVE<br>  60620,Completed,PROCESSED VIOLATION NOTICE,8141 S MARSHFIELD AVE,60620,   ,Chicago,Illinois
80,SR19-01099746,03/03/19 01:09 AM,8141 S MARSHFIELD AVE<br>  60620,Completed,,8141 S MARSHFIELD AVE,60620,   ,Chicago,Illinois
81,SR19-01099887,03/03/19 03:30 AM,8042 S HERMITAGE AVE<br>  60620,Completed,Active Case,8042 S HERMITAGE AVE,60620,   ,Chicago,Illinois
82,SR19-01100460,03/03/19 10:27 AM,7721 S YATES BLVD<br>  60649,Completed,Active Case,7721 S YATES BLVD,60649,   ,Chicago,Illinois
83,SR19-01100881,03/03/19 12:49 PM,5020 S BLACKSTONE AVE<br>  60615,Completed,Active Case,5020 S BLACKSTONE AVE,60615,   ,Chicago,Illinois
84,SR19-01101323,03/03/19 03:21 PM,7018 S CLYDE AVE<br>  60649,Completed,No Entry,7018 S CLYDE AVE,60649,   ,Chicago,Illinois
85,SR19-01101339,03/03/19 03:23 PM,2310 S CALIFORNIA AVE<br>  60608,Completed,Processed for Hearing - Standard,2310 S CALIFORNIA AVE,60608,   ,Chicago,Illinois
86,SR19-01101769,03/03/19 05:40 PM,1434 S HOMAN AVE<br>  60623,Completed,No Entry,1434 S HOMAN AVE,60623,   ,Chicago,Illinois
87,SR19-01101967,03/03/19 07:02 PM,6201 N KENMORE AVE<br>  60660,Completed,No Entry,6201 N KENMORE AVE,60660,   ,Chicago,Illinois
88,SR19-01102244,03/03/19 08:45 PM,1648 W CULLERTON ST<br>  60608,Completed,No Entry,1648 W CULLERTON ST,60608,   ,Chicago,Illinois
89,SR19-01102340,03/03/19 09:33 PM,758 E 79TH ST<br>  60619,Completed,No Entry,758 E 79TH ST,60619,   ,Chicago,Illinois
90,SR19-01102724,03/04/19 02:51 AM,7729 N EASTLAKE TER<br>  60626,Completed,No Entry,7729 N EASTLAKE TER,60626,   ,Chicago,Illinois
91,SR19-01102736,03/04/19 03:30 AM,4641 N PAULINA ST<br>  60640,Completed,No Entry,4641 N PAULINA ST,60640,   ,Chicago,Illinois
92,SR19-01102759,03/04/19 04:34 AM,1320 W 89TH ST<br>  60620,Completed,PROCESSED VIOLATION NOTICE,1320 W 89TH ST,60620,   ,Chicago,Illinois
93,SR19-01102792,03/04/19 05:08 AM,7729 N EASTLAKE TER<br>  60626,Completed,,7729 N EASTLAKE TER,60626,   ,Chicago,Illinois
94,SR19-01103049,03/04/19 06:59 AM,7756 S COLFAX AVE<br>  60649,Completed,Active Case,7756 S COLFAX AVE,60649,   ,Chicago,Illinois
95,SR19-01103068,03/04/19 07:10 AM,4026 N KIMBALL AVE<br>  60618,Completed,No Entry,4026 N KIMBALL AVE,60618,   ,Chicago,Illinois
96,SR19-01103079,03/04/19 07:16 AM,2424 N CLARK ST<br>  60614,Completed,Adequate Temperature,2424 N CLARK ST,60614,   ,Chicago,Illinois
97,SR19-01103165,03/04/19 07:50 AM,4250 S PRINCETON AVE<br>  60609,Completed,Adequate Temperature,4250 S PRINCETON AVE,60609,   ,Chicago,Illinois
98,SR19-01103207,03/04/19 08:15 AM,3570 W DICKENS AVE<br>  60647,Completed,Adequate Temperature,3570 W DICKENS AVE,60647,   ,Chicago,Illinois
99,SR19-01103307,03/04/19 08:43 AM,5218 S WOODLAWN AVE<br>  60615,Completed,No Entry,5218 S WOODLAWN AVE,60615,   ,Chicago,Illinois
100,SR19-01103623,03/04/19 09:55 AM,2145 E 87th ST<br>  60617,Completed,No Entry,2145 E 87th ST,60617,   ,Chicago,Illinois
101,SR19-01103782,03/04/19 10:22 AM,1514 W 119TH ST<br>  60643,Completed,Adequate Temperature,1514 W 119TH ST,60643,   ,Chicago,Illinois
102,SR19-01103796,03/04/19 10:26 AM,734 W SHERIDAN RD<br>  60613,Completed,Active Case,734 W SHERIDAN RD,60613,   ,Chicago,Illinois
103,SR19-01103855,03/04/19 10:39 AM,2522 W MARQUETTE RD<br>  60629,Completed,Active Case,2522 W MARQUETTE RD,60629,   ,Chicago,Illinois
104,SR19-01104038,03/04/19 11:02 AM,936 E 47TH ST<br>  60653,Completed,No Entry,936 E 47TH ST,60653,   ,Chicago,Illinois
105,SR19-01104158,03/04/19 11:18 AM,77 W WASHINGTON ST<br>  60602,Completed,No Cause,77 W WASHINGTON ST,60602,   ,Chicago,Illinois
106,SR19-01104215,03/04/19 11:31 AM,19 S LEAMINGTON AVE<br>  60644,Completed,No Entry,19 S LEAMINGTON AVE,60644,   ,Chicago,Illinois
107,SR19-01104231,03/04/19 11:35 AM,8203 N michigan AVE<br>  60619,Completed,No Cause,8203 N michigan AVE,60619,   ,Chicago,Illinois
108,SR19-01104298,03/04/19 11:50 AM,727 E 60TH ST<br>  60637,Completed,Processed for Hearing - Standard,727 E 60TH ST,60637,   ,Chicago,Illinois
109,SR19-01105265,03/04/19 03:38 PM,1221 W 73RD ST<br>  60636,Completed,No Entry,1221 W 73RD ST,60636,   ,Chicago,Illinois
110,SR19-01105689,03/04/19 05:26 PM,1046 W DIVERSEY PKWY<br>  60614,Completed,Adequate Temperature,1046 W DIVERSEY PKWY,60614,   ,Chicago,Illinois
111,SR19-01105717,03/04/19 05:35 PM,4124 W 63RD ST<br>  60629,Completed,PROCESSED VIOLATION NOTICE,4124 W 63RD ST,60629,   ,Chicago,Illinois
112,SR19-01105801,03/04/19 05:57 PM,4029 W CRYSTAL ST<br>  60651,Completed,No Entry,4029 W CRYSTAL ST,60651,   ,Chicago,Illinois
113,SR19-01105816,03/04/19 06:00 PM,3917 W VAN BUREN ST<br>  60624,Completed,Processed for Court,3917 W VAN BUREN ST,60624,   ,Chicago,Illinois
114,SR19-01105941,03/04/19 06:41 PM,734 W SHERIDAN RD<br>  60613,Completed,Active Case,734 W SHERIDAN RD,60613,   ,Chicago,Illinois
115,SR19-01106003,03/04/19 07:06 PM,5649 N Spaulding AVE<br>  60659,Completed,No Entry,5649 N Spaulding AVE,60659,   ,Chicago,Illinois
116,SR19-01106090,03/04/19 07:38 PM,2901 S DR MARTIN LUTHER KING JR DR<br>  60616,Completed,Active Case,2901 S DR MARTIN LUTHER KING JR DR,60616,   ,Chicago,Illinois
117,SR19-01106342,03/04/19 09:36 PM,6626 S WABASH AVE<br>  60637,Completed,No Entry,6626 S WABASH AVE,60637,   ,Chicago,Illinois
118,SR19-01106362,03/04/19 09:46 PM,2203 W RICE ST<br>  60622,Completed,No Entry,2203 W RICE ST,60622,   ,Chicago,Illinois
119,SR19-01106588,03/04/19 11:43 PM,7763 S SOUTH SHORE DR<br>  60649,Completed,No Entry,7763 S SOUTH SHORE DR,60649,   ,Chicago,Illinois
120,SR19-01106594,03/04/19 11:49 PM,1900 S Clark ST<br>  60616,Completed,No Entry,1900 S Clark ST,60616,   ,Chicago,Illinois
121,SR19-01106610,03/05/19 12:05 AM,1226 W JARVIS AVE<br>  60626,Completed,No Entry,1226 W JARVIS AVE,60626,   ,Chicago,Illinois
122,SR19-01106675,03/05/19 01:47 AM,120 E 44TH ST<br>  60653,Completed,Processed for Hearing - Standard,120 E 44TH ST,60653,   ,Chicago,Illinois
123,SR19-01106777,03/05/19 05:30 AM,4437 S GREENWOOD AVE<br>  60653,Completed,Active Case,4437 S GREENWOOD AVE,60653,   ,Chicago,Illinois
124,SR19-01106785,03/05/19 05:41 AM,838 N CENTRAL AVE<br>  60651,Completed,NO SUCH ADDRESS,838 N CENTRAL AVE,60651,   ,Chicago,Illinois
125,SR19-01106786,03/05/19 05:43 AM,2415 N OAK PARK AVE<br>  60707,Completed,,2415 N OAK PARK AVE,60707,   ,Chicago,Illinois
126,SR19-01106789,03/05/19 05:45 AM,6209 S PRINCETON AVE<br>  60621,Completed,Active Case,6209 S PRINCETON AVE,60621,   ,Chicago,Illinois
127,SR19-01106825,03/05/19 06:28 AM,4518 N DAMEN AVE<br>  60625,Completed,No Entry,4518 N DAMEN AVE,60625,   ,Chicago,Illinois
128,SR19-01106826,03/05/19 06:29 AM,6209 S PRINCETON AVE<br>  60621,Completed,,6209 S PRINCETON AVE,60621,   ,Chicago,Illinois
129,SR19-01106851,03/05/19 06:42 AM,6651 S MAPLEWOOD AVE<br>  60629,Completed,Processed for Court,6651 S MAPLEWOOD AVE,60629,   ,Chicago,Illinois
130,SR19-01106873,03/05/19 06:58 AM,2134 N CLEVELAND AVE<br>  60614,Completed,Active Case,2134 N CLEVELAND AVE,60614,   ,Chicago,Illinois
131,SR19-01107017,03/05/19 07:53 AM,3603 N ASHLAND AVE<br>  60613,Completed,Processed for Hearing - Standard,3603 N ASHLAND AVE,60613,   ,Chicago,Illinois
132,SR19-01107574,03/05/19 09:08 AM,6600 S ARTESIAN AVE<br>  60629,Completed,,6600 S ARTESIAN AVE,60629,   ,Chicago,Illinois
133,SR19-01107926,03/05/19 09:40 AM,2139 W CONCORD PL<br>  60647,Completed,No Entry,2139 W CONCORD PL,60647,   ,Chicago,Illinois
134,SR19-01108109,03/05/19 10:00 AM,2855 N ASHLAND AVE<br>  60657,Completed,No Entry,2855 N ASHLAND AVE,60657,   ,Chicago,Illinois
135,SR19-01108149,03/05/19 10:04 AM,4677 N ELSTON AVE<br>  60630,Completed,No Cause,4677 N ELSTON AVE,60630,   ,Chicago,Illinois
136,SR19-01108675,03/05/19 10:49 AM,3130 N LAKE SHORE DR<br>  60657,Completed,Adequate Temperature,3130 N LAKE SHORE DR,60657,   ,Chicago,Illinois
137,SR19-01109419,03/05/19 12:10 PM,7721 S Yates BLVD<br>  60649,Completed,Active Case,7721 S Yates BLVD,60649,   ,Chicago,Illinois
138,SR19-01109541,03/05/19 12:22 PM,2308 N MEADE AVE<br>  60639,Completed,No Entry,2308 N MEADE AVE,60639,   ,Chicago,Illinois
139,SR19-01109943,03/05/19 01:24 PM,419 E 75TH ST<br>  60619,Completed,Processed for Hearing - Standard,419 E 75TH ST,60619,   ,Chicago,Illinois
140,SR19-01110116,03/05/19 01:49 PM,2104 E 74TH ST<br>  60649,Completed,NO SUCH ADDRESS,2104 E 74TH ST,60649,   ,Chicago,Illinois
141,SR19-01110211,03/05/19 02:01 PM,2104 E 72ND PL<br>  60649,Completed,Processed for Hearing - Standard,2104 E 72ND PL,60649,   ,Chicago,Illinois
142,SR19-01110214,03/05/19 02:02 PM,1236 E 46TH ST<br>  60653,Completed,No Entry,1236 E 46TH ST,60653,   ,Chicago,Illinois
143,SR19-01110270,03/05/19 02:10 PM,4835 W WEST END AVE<br>  60644,Completed,Processed for Hearing - Standard,4835 W WEST END AVE,60644,   ,Chicago,Illinois
144,SR19-01110413,03/05/19 02:29 PM,8503 W CATHERINE AVE<br>  60656,Completed,Active Case,8503 W CATHERINE AVE,60656,   ,Chicago,Illinois
145,SR19-01110535,03/05/19 02:47 PM,5330 S HARPER AVE<br>  60615,Completed,Active Case,5330 S HARPER AVE,60615,   ,Chicago,Illinois
146,SR19-01110672,03/05/19 03:07 PM,1256 S INDEPENDENCE BLVD<br>  60623,Completed,Processed for Hearing - Standard,1256 S INDEPENDENCE BLVD,60623,   ,Chicago,Illinois
147,SR19-01110723,03/05/19 03:14 PM,3044 N AVERS AVE<br>  60618,Completed,No Entry,3044 N AVERS AVE,60618,   ,Chicago,Illinois
148,SR19-01110771,03/05/19 03:20 PM,7900 S MERRILL AVE<br>  60649,Completed,No Entry,7900 S MERRILL AVE,60649,   ,Chicago,Illinois
149,SR19-01111022,03/05/19 04:01 PM,4526 S DREXEL BLVD<br>  60653,Completed,Adequate Temperature,4526 S DREXEL BLVD,60653,   ,Chicago,Illinois
150,SR19-01111108,03/05/19 04:11 PM,860 N DEWITT PL<br>  60611,Completed,Active Case,860 N DEWITT PL,60611,   ,Chicago,Illinois
151,SR19-01111373,03/05/19 04:41 PM,3127 N HARDING AVE<br>  60618,Completed,No Entry,3127 N HARDING AVE,60618,   ,Chicago,Illinois
152,SR19-01111793,03/05/19 06:23 PM,3130 W WALTON ST<br>  60622,Completed,No Cause,3130 W WALTON ST,60622,   ,Chicago,Illinois
153,SR19-01112059,03/05/19 08:26 PM,8204 S MARSHFIELD AVE<br>  60620,Completed,No Entry,8204 S MARSHFIELD AVE,60620,   ,Chicago,Illinois
154,SR19-01112205,03/05/19 09:09 PM,936 E 47TH ST<br>  60653,Completed,,936 E 47TH ST,60653,   ,Chicago,Illinois
155,SR19-01112551,03/05/19 11:23 PM,8001 S WESTERN AVE<br>  60620,Completed,Adequate Temperature,8001 S WESTERN AVE,60620,   ,Chicago,Illinois
156,SR19-01112653,03/06/19 12:42 AM,4421 N BROADWAY ST<br>  60640,Completed,Adequate Temperature,4421 N BROADWAY ST,60640,   ,Chicago,Illinois
157,SR19-01112711,03/06/19 01:19 AM,5200 N SHERIDAN RD<br>  60640,Completed,Adequate Temperature,5200 N SHERIDAN RD,60640,   ,Chicago,Illinois
158,SR19-01112771,03/06/19 02:56 AM,7028 S PAXTON AVE<br>  60649,Completed,No Entry,7028 S PAXTON AVE,60649,   ,Chicago,Illinois
159,SR19-01112775,03/06/19 03:03 AM,4677 N ELSTON AVE<br>  60630,Completed,,4677 N ELSTON AVE,60630,   ,Chicago,Illinois
160,SR19-01112877,03/06/19 05:37 AM,432 E 111TH PL<br>  60628,Completed,Adequate Temperature,432 E 111TH PL,60628,   ,Chicago,Illinois
161,SR19-01112961,03/06/19 06:35 AM,2134 N CLEVELAND AVE<br>  60614,Completed,Active Case,2134 N CLEVELAND AVE,60614,   ,Chicago,Illinois
162,SR19-01112988,03/06/19 06:50 AM,3139 W LELAND AVE<br>  60625,Completed,No Entry,3139 W LELAND AVE,60625,   ,Chicago,Illinois
163,SR19-01113147,03/06/19 07:53 AM,8917 S COTTAGE GROVE AVE<br>  60619,Completed,No Entry,8917 S COTTAGE GROVE AVE,60619,   ,Chicago,Illinois
164,SR19-01113337,03/06/19 08:31 AM,6215 W NEWPORT AVE<br>  60634,Completed,Processed for Hearing - Standard,6215 W NEWPORT AVE,60634,   ,Chicago,Illinois
165,SR19-01113363,03/06/19 08:35 AM,6800 S NORMAL BLVD<br>  60621,Completed,,6800 S NORMAL BLVD,60621,   ,Chicago,Illinois
166,SR19-01113555,03/06/19 09:06 AM,1151 W 79TH ST<br>  60620,Completed,No Entry,1151 W 79TH ST,60620,   ,Chicago,Illinois
167,SR19-01115050,03/06/19 11:43 AM,6800 S STEWART AVE<br>  60621,Completed,NO SUCH ADDRESS,6800 S STEWART AVE,60621,   ,Chicago,Illinois
168,SR19-01115270,03/06/19 12:03 PM,6825 N SEELEY AVE<br>  60645,Completed,No Entry,6825 N SEELEY AVE,60645,   ,Chicago,Illinois
